num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
173	1	3.173816783	2.418983337	1.86426143	1.972635403	1.367385004	-0.362964652
174	1	3.176486118	2.464851245	1.855291143	1.99774446	1.328388845	-0.426395749
175	1	3.227921437	2.52595999	1.840989638	2.015940771	1.305941818	-0.503647387
176	1	3.194569765	2.578820619	1.818438528	2.057532135	1.269983766	-0.563295362
177	1	3.111251846	2.516672017	1.750546692	2.118309099	1.209257032	-0.581075906
178	1	3.013754686	2.389135398	1.732527922	2.139642474	1.202606321	-0.55434775
179	1	2.960867855	2.2958163	1.781555389	2.17729618	1.212457255	-0.512386237
180	1	2.7778464	2.116858228	1.825235242	2.259327554	1.199109191	-0.432821432
181	1	2.643441696	1.913325035	1.880728055	2.356506643	1.197423555	-0.351655759
182	1	2.547947394	1.795319167	1.958797386	2.463163103	1.214908346	-0.279476213
183	1	2.476362307	1.745709969	2.026769942	2.58722817	1.199293057	-0.215223222
184	1	2.403599337	1.702233478	2.077576906	2.549069392	1.173645913	-0.157728641
185	0	2.431569806	1.735506172	2.135191446	2.480210203	1.158161339	-0.109577543
186	0	2.458779168	1.76770735	2.189666605	2.378247651	1.142433217	-0.063638851
187	0	2.485267749	1.79890388	2.2413269	2.232358216	1.126453764	-0.019718157
188	0	2.564860044	1.854211267	2.271612643	2.021718078	1.099399498	-0.004510779
189	0	2.692442619	2.010444002	2.281234966	2.251709269	1.063460015	0.004953191
190	0	2.814958641	2.133143153	2.258943695	2.378405918	1.03673301	0.000614347
191	0	2.917110302	2.233918595	2.189108167	2.452285938	1.042734296	-0.015285765
192	0	3.003915031	2.333935487	2.071572569	2.462070857	1.050330835	-0.057100746
193	0	3.000495322	2.384704038	1.939753948	2.456280749	1.063426693	-0.078848255
194	0	2.893373579	2.282588275	1.776315783	2.291635237	1.077322636	-0.137361994
195	0	2.735513511	2.177511487	1.598777501	2.19618265	1.107057545	-0.20460106
196	0	2.577570581	2.06839652	1.478154837	2.12024457	1.060085275	-0.304180357
197	0	2.509878164	1.948930434	1.422432575	2.124095954	1.023002611	-0.403334907
198	0	2.571970112	1.842442109	1.350797317	2.145155824	1.015455423	-0.509330202
199	0	2.719649773	1.8781448	1.348712779	2.105252491	1.066229742	-0.566510909
200	0	2.981568261	2.015738609	1.46166258	2.048812441	1.069097847	-0.6193053
201	0	3.178871243	2.136075909	1.555540752	2.062896624	1.154852951	-0.588111024
202	0	3.24404158	2.190456576	1.596653722	2.063844888	1.201430864	-0.531942165
203	0	3.263838254	2.253593314	1.659768221	2.098872381	1.227587993	-0.488681034
204	0	3.288477341	2.318290132	1.672930443	2.154794804	1.181719237	-0.450023404
205	0	3.192114382	2.239322623	1.559342926	2.16448283	1.15742359	-0.393619052
206	0	3.14045105	2.154591908	1.43506355	2.073911641	1.058955077	-0.39949122
207	0	3.138455195	2.107113391	1.344076212	1.98405939	0.977184144	-0.402058709
208	0	3.195550783	2.064778378	1.348082232	1.907129882	0.934015302	-0.364045556
209	0	3.255136805	1.966769008	1.461044542	1.856726894	0.95337966	-0.29464974
210	0	3.319602025	1.947128307	1.624856692	1.873134323	0.95551669	-0.223423705
211	0	3.283867196	1.896277603	1.757045863	1.998993472	1.001224881	-0.136345516
212	0	3.261254242	1.88098652	1.873111277	2.147640749	1.07592151	-0.080412907
213	0	3.169873832	1.843703003	1.89759476	2.195223678	1.089007867	-0.08327559
214	0	3.015283129	1.836510989	1.85084786	2.24365559	1.087501437	-0.14862358
215	0	2.859199991	1.827840818	1.794165759	2.264164573	1.098892504	-0.255484885
216	0	2.736031608	1.847311053	1.711016384	2.246868393	1.104655621	-0.381785448
217	0	2.584197784	1.770391767	1.606867856	2.185753323	1.055256826	-0.498040193
218	0	2.548835143	1.725708042	1.522229969	2.137479062	1.022689492	-0.578151396
219	0	2.609482299	1.71700213	1.480706613	2.033249122	0.962549034	-0.614032377
220	0	2.73961133	1.750873563	1.512478209	1.937402165	0.90027993	-0.621741507
221	0	2.880791202	1.796306137	1.596553066	1.888895518	0.851251331	-0.605213022
222	0	2.991522303	1.878394252	1.680131796	1.868511318	0.887862811	-0.594943854
223	0	3.02944732	1.892331801	1.743332924	1.899506917	0.915450993	-0.602940695
224	0	3.022760547	1.853424481	1.767914573	1.96694432	0.96185641	-0.60596363
225	0	2.984527356	1.777760802	1.703921537	2.012146322	0.986001103	-0.622897735
226	0	2.978513633	1.695816171	1.631919457	2.020928263	1.005394729	-0.609085073
227	0	3.054731563	1.625430344	1.567610778	2.060980398	0.938997754	-0.594787951
228	0	3.098713295	1.60423713	1.521014544	2.08573789	0.863335117	-0.552169265
229	0	3.162529562	1.606304151	1.508536693	2.122017208	0.788130388	-0.50990988
230	0	3.221474952	1.632563456	1.544781787	2.170070915	0.752198236	-0.444972248
231	0	3.287082348	1.649509551	1.520482194	2.187151071	0.693703863	-0.447309015
232	0	3.251150328	1.728919721	1.494337231	2.120450507	0.679348423	-0.470503797
233	0	3.267938697	1.874750684	1.527544798	2.044481433	0.706617886	-0.498132593
234	0	3.284696075	2.009930051	1.551214684	1.929750864	0.733558212	-0.500824353
235	0	3.276921289	2.112167881	1.567358565	1.830496034	0.747178754	-0.482553291
236	0	3.201049681	2.209598023	1.625091446	1.716126521	0.794109977	-0.448457516
237	0	3.183103157	2.248081146	1.643382023	1.672389038	0.856631387	-0.391400924
238	0	3.160515155	2.185797451	1.572586003	1.652183156	0.886074969	-0.355473665
239	0	3.095711516	2.124249484	1.537560937	1.663592084	0.891957386	-0.370838324
240	0	3.06029566	2.089099724	1.525823793	1.627562793	0.880779909	-0.445837278
241	0	3.042115746	2.075294329	1.526715509	1.677749158	0.837757415	-0.499210817
