num_scan	state	face	maze	prep_face	pre_maze	rest
1633	rest	0.00235014	0.0156306	0.00148242	0.000674947	0.979862
1634	rest	0.00348521	0.022106	0.00430987	0.00409394	0.966005
1635	rest	0.0040274	0.01759	0.000750377	4.20E-05	0.97759
1636	rest	0.00402212	0.0108732	5.57E-05	0.000104096	0.984945
1637	rest	0.00259211	0.0083929	0.000195538	2.39E-05	0.988796
1638	rest	0.00411303	0.00543302	0.000169404	7.84E-05	0.990206
1639	rest	0.00248887	0.000419001	9.19E-06	8.17E-06	0.997075
1640	rest	0.00322753	8.47E-05	2.44E-05	3.63E-05	0.996627
1641	rest	0.00080262	1.26E-05	6.75E-06	1.54E-06	0.999176
1642	rest	0.000618799	4.30E-05	2.10E-05	1.21E-05	0.999305
1643	rest	0.000270697	3.35E-05	9.09E-06	2.67E-05	0.99966
1644	rest	0.00047328	0.000489291	0.000146567	0.000107596	0.998783
1645	rest	0.000650359	0.00103026	0.000449162	0.000164744	0.997705
1646	rest	0.000512598	0.00121474	1.90E-05	2.98E-05	0.998224
1647	rest	0.000480483	0.00244093	0.000310385	0.000539807	0.996228
1648	rest	0.00066048	0.00253839	7.31E-05	1.86E-05	0.996709
1649	rest	0.00145361	0.00383696	0.000636095	0.000466347	0.993607
1650	rest	0.00192431	0.00140177	0.000183171	3.16E-05	0.996459
1651	rest	0.00118222	0.00113153	3.89E-05	1.42E-05	0.997633
1652	rest	0.000330559	0.000163783	3.40E-05	4.26E-06	0.999467
1653	rest	4.76E-05	4.41E-05	3.14E-05	1.48E-06	0.999875
1654	rest	0.000127752	0.000144849	6.89E-05	5.92E-05	0.999599
1655	rest	0.000525251	0.000436661	0.000419686	6.92E-05	0.998549
1656	rest	0.00135965	0.000286146	0.000139509	2.48E-05	0.99819
1657	rest	0.00424758	0.000812172	0.000216782	0.000336358	0.994387
1658	rest	0.0029054	0.00153355	0.000120909	0.0001321	0.995308
1659	rest	0.000623986	0.00205637	3.44E-05	4.55E-05	0.99724
1660	rest	0.000135219	0.000336094	1.28E-05	3.73E-06	0.999512
1661	rest	0.000231239	0.000889485	0.000361991	9.80E-05	0.998419
1662	rest	0.000112106	9.99E-05	7.36E-06	4.12E-06	0.999777
1663	rest	0.000121863	0.000116271	0.000102249	3.69E-05	0.999623
1664	rest	3.93E-05	3.08E-05	7.42E-05	7.53E-06	0.999848
1665	rest	2.36E-05	5.03E-05	1.28E-05	1.42E-05	0.999899
1666	rest	0.000122532	0.000211445	0.000143022	5.33E-05	0.99947
1667	rest	6.60E-06	3.86E-05	1.12E-05	6.61E-06	0.999937
